record_id,movie_id,city,country,year,month,total_views,total_watch_minutes,rewatch_count,estimated_revenue_usd,avg_rating,num_reviews,engagement_score
117,22,London,UK,2024,12,6,585,3,19.05,3.88,4,41.8
118,19,New York,USA,2025,4,61,5809,7,157.0,4.25,26,50.7
119,15,Manchester,UK,2025,4,8,723,2,21.59,4.17,6,33.5
120,15,Sydney,Australia,2025,4,3,270,0,9.17,4.0,3,23.9
121,1,Ahmedabad,India,2025,4,12,1237,2,38.34,4.6,5,36.0
122,22,Chennai,India,2025,1,6,516,1,15.16,,0,28.9
123,20,New York,USA,2024,9,10,456,0,13.08,2.38,4,18.9
124,15,Melbourne,Australia,2025,4,14,1209,2,30.41,3.56,9,31.7
125,15,Pune,India,2025,3,12,1048,2,35.0,4.1,5,31.8
126,9,Chennai,India,2025,4,43,4405,10,101.17,4.23,15,46.4
127,2,Chicago,USA,2024,12,6,558,1,21.5,4.25,2,28.5
128,11,Delhi,India,2025,3,23,2241,2,68.65,4.31,8,34.8
129,13,Hyderabad,India,2025,4,28,2747,3,84.52,4.27,11,35.4
130,4,Kolkata,India,2025,3,17,1346,4,38.38,4.39,9,35.9
131,12,Ahmedabad,India,2025,3,3,210,0,7.5,3.25,2,21.8
132,4,Dubai,UAE,2025,2,4,297,1,8.82,,0,29.7
133,6,Manchester,UK,2025,4,5,269,1,7.33,2.67,3,25.0
134,15,Bengaluru,India,2025,3,21,1879,5,56.84,3.92,12,38.1
135,9,Sydney,Australia,2025,4,36,3472,6,92.33,4.35,13,40.4
136,4,Los Angeles,USA,2025,2,3,274,1,9.15,4.5,1,36.6
137,19,Los Angeles,USA,2025,4,57,5326,5,180.24,4.08,20,47.9
138,1,Delhi,India,2025,3,34,3441,7,112.11,4.62,12,45.5
139,9,Mumbai,India,2025,4,83,8545,12,192.74,4.19,26,59.9
140,23,Mumbai,India,2025,4,23,1797,5,66.66,4.19,8,37.0
141,19,London,UK,2025,4,52,4764,6,158.09,4.05,19,46.2
142,4,Kolkata,India,2025,4,17,1208,2,52.09,4.45,10,30.1
143,21,Hyderabad,India,2025,4,31,3526,9,92.33,4.14,14,43.1
144,4,Sydney,Australia,2025,4,10,840,1,24.39,3.75,4,30.3
145,8,Dubai,UAE,2025,3,3,127,0,4.19,2.25,2,15.6
146,13,Los Angeles,USA,2025,3,17,1801,2,45.88,4.07,7,33.0
147,1,Singapore,Singapore,2025,2,8,882,2,29.41,4.75,2,38.7
148,24,Kolkata,India,2025,2,4,352,1,7.35,3.0,1,34.2
149,7,Kolkata,India,2024,12,9,410,1,15.59,3.5,2,22.1
150,6,Kolkata,India,2025,3,8,387,0,13.42,2.62,4,18.5
151,2,Hyderabad,India,2024,10,3,319,0,9.45,3.5,1,25.4
152,17,Ahmedabad,India,2025,3,3,163,0,4.34,4.0,1,20.4
153,19,Singapore,Singapore,2025,4,25,2283,6,80.13,4.4,10,39.1
154,24,Mumbai,India,2025,3,9,704,3,23.45,4.0,1,35.9
155,18,Pune,India,2024,12,3,332,0,7.19,3.25,2,24.6
156,17,Delhi,India,2025,4,4,255,1,7.53,5.0,1,31.6
157,22,Los Angeles,USA,2024,12,4,387,0,13.78,3.5,2,25.8
158,5,London,UK,2025,1,8,693,2,21.1,3.83,6,32.0
159,17,New York,USA,2025,3,8,595,2,16.22,4.0,3,37.0
160,13,Chicago,USA,2025,4,28,3093,7,86.53,4.07,7,42.4
161,11,Bengaluru,India,2025,4,20,1826,5,59.33,4.05,11,37.1
162,9,Singapore,Singapore,2025,4,27,2788,7,85.05,4.12,8,41.0
163,16,Manchester,UK,2025,4,2,164,1,4.29,,0,40.9
164,24,Chicago,USA,2025,4,7,537,1,14.66,3.67,3,29.0
165,23,New York,USA,2025,4,20,1676,2,51.83,4.1,10,33.9
166,16,Delhi,India,2025,3,6,446,1,15.07,3.3,5,30.2
167,25,New York,USA,2024,8,7,751,1,25.45,3.79,7,30.9
168,2,Pune,India,2025,4,2,217,0,7.65,4.0,1,25.5
169,9,New York,USA,2025,4,53,5159,8,156.4,4.38,24,46.9
170,13,Dubai,UAE,2025,4,15,1573,2,41.83,3.62,4,32.5
171,3,Los Angeles,USA,2025,3,5,568,1,12.92,4.0,1,31.5
172,5,Kolkata,India,2024,10,4,373,0,12.29,4.0,3,24.5
173,5,Pune,India,2025,3,6,542,0,20.56,4.0,4,24.6
174,18,Chicago,USA,2024,12,3,341,0,9.46,3.5,1,25.2
175,1,Melbourne,Australia,2025,3,14,1430,0,53.13,3.88,4,31.6
176,3,Sydney,Australia,2025,3,4,425,1,11.05,4.5,1,31.1
177,5,Mumbai,India,2024,12,11,961,3,33.62,3.83,3,34.1
178,5,Pune,India,2024,12,4,414,0,11.5,3.5,2,27.1
179,23,Mumbai,India,2025,3,34,2862,8,95.0,3.95,11,43.6
180,13,Delhi,India,2025,3,17,1677,2,60.56,4.5,5,31.5
181,5,Los Angeles,USA,2025,1,8,660,1,20.24,4.5,2,27.2
182,14,Chennai,India,2024,6,3,258,0,8.04,4.5,1,21.0
183,16,Singapore,Singapore,2024,11,4,245,1,9.05,3.5,1,27.9
184,22,New York,USA,2025,1,11,926,2,26.86,3.67,6,30.9
185,3,Delhi,India,2025,1,12,1195,2,35.68,4.7,5,30.4
186,1,Toronto,Canada,2025,2,10,1029,1,29.05,4.62,4,33.2
187,2,Delhi,India,2025,4,11,1100,3,39.66,4.17,6,35.3
188,12,Dubai,UAE,2025,1,2,169,1,3.94,,0,40.7
189,13,New York,USA,2025,4,49,4958,5,185.45,4.28,16,44.3
190,23,Delhi,India,2025,3,25,2031,5,76.37,4.09,11,38.2
191,21,Delhi,India,2025,4,55,6283,10,136.55,4.21,21,49.6
192,1,Mumbai,India,2025,1,66,6988,16,228.75,4.35,26,60.6
193,15,Singapore,Singapore,2025,4,10,975,2,25.23,3.7,5,34.6
194,1,Dubai,UAE,2025,4,10,1028,0,34.31,4.0,3,30.1
195,17,Los Angeles,USA,2025,2,3,205,1,4.69,4.5,1,35.3
196,21,Melbourne,Australia,2025,4,21,2431,3,59.75,4.0,7,35.1
197,25,New York,USA,2025,2,5,444,0,16.32,,0,21.7
198,11,Kolkata,India,2025,4,22,2064,5,69.37,4.55,11,37.8
199,5,Hyderabad,India,2024,12,4,357,0,12.35,5.0,1,23.5
200,14,Delhi,India,2024,12,3,281,0,7.97,5.0,1,22.8
201,1,Bengaluru,India,2025,4,22,2228,4,65.28,4.36,7,40.0
202,7,Manchester,UK,2024,12,2,98,0,2.68,1.5,1,17.1
203,19,Bengaluru,India,2025,4,57,5354,8,157.09,3.94,17,49.6
204,17,Chennai,India,2025,3,5,348,3,8.0,4.25,2,44.6
205,9,Bengaluru,India,2025,4,57,5888,7,162.08,3.98,20,48.9
206,3,Kolkata,India,2025,3,7,768,2,18.63,4.5,3,34.1
207,15,Bengaluru,India,2025,4,26,2185,6,57.51,3.81,8,38.5
208,9,London,UK,2025,4,43,4146,9,124.96,4.26,19,44.4
209,1,Chennai,India,2025,1,28,2870,6,85.14,4.46,12,43.7
210,11,Chennai,India,2025,3,13,1209,1,43.9,4.2,5,29.5
211,7,Pune,India,2025,1,7,268,3,10.06,2.5,2,28.4
212,18,Mumbai,India,2025,3,9,911,2,22.85,4.0,3,31.7
213,9,Los Angeles,USA,2025,4,42,4129,8,98.27,4.41,11,43.9
214,1,Los Angeles,USA,2025,2,20,2118,7,59.92,4.54,12,45.4
215,18,Pune,India,2024,10,4,402,0,12.04,3.5,1,22.8
216,13,Bengaluru,India,2025,4,40,4223,3,149.03,4.25,12,40.9
217,21,Los Angeles,USA,2025,3,5,592,1,16.54,,0,30.9
218,19,Mumbai,India,2025,4,90,8229,14,299.81,4.1,31,62.6
219,20,Bengaluru,India,2024,9,4,219,1,5.54,2.0,1,27.0
220,15,Chicago,USA,2025,3,15,1352,3,38.79,3.81,8,34.7
221,14,Kolkata,India,2024,7,4,408,0,10.88,3.0,2,25.1
222,21,Nairobi,Kenya,2025,4,10,1117,2,27.96,4.25,4,31.6
223,12,New York,USA,2024,11,5,403,2,10.07,3.75,2,37.7
224,11,Los Angeles,USA,2025,1,2,182,1,5.42,,0,37.3
225,13,Manchester,UK,2025,4,20,2115,3,75.71,4.14,11,35.2
226,14,Mumbai,India,2025,4,4,324,1,9.75,3.0,1,27.8
227,25,Mumbai,India,2024,12,8,799,1,24.58,2.5,1,29.1
228,19,Houston,USA,2025,4,34,3085,5,100.66,4.21,12,39.8
229,1,Ahmedabad,India,2025,1,17,1832,2,54.1,4.57,7,37.7
230,14,Chicago,USA,2025,1,2,190,0,4.99,,0,22.7
231,11,Dubai,UAE,2025,4,2,174,0,6.8,,0,21.4
232,11,Houston,USA,2025,3,10,1005,3,26.12,4.1,5,36.7
233,21,Mumbai,India,2025,3,20,2182,2,54.7,4.39,9,32.1
234,25,Hyderabad,India,2024,9,3,311,0,11.37,4.0,1,24.2
235,8,Chennai,India,2025,2,5,198,2,6.35,3.25,2,27.5
236,1,Kolkata,India,2025,1,26,2598,6,81.52,4.6,5,42.7
237,22,Delhi,India,2025,4,13,1259,2,46.29,4.0,6,34.0
238,25,Chennai,India,2024,9,5,458,0,13.31,3.25,2,22.4
239,3,Hyderabad,India,2024,11,5,465,0,16.05,4.25,2,21.2
240,9,Pune,India,2025,4,34,3665,8,107.24,4.42,12,44.1
241,8,New York,USA,2025,3,15,588,0,25.3,2.92,6,19.4
242,12,Delhi,India,2025,2,9,716,0,17.97,3.67,3,27.0
243,16,Melbourne,Australia,2025,2,2,141,0,3.88,,0,22.4
244,15,Hyderabad,India,2025,4,16,1341,2,45.27,3.81,8,31.3
245,23,Toronto,Canada,2025,4,6,494,0,13.54,4.17,3,24.9
246,10,Ahmedabad,India,2024,9,3,279,0,8.0,4.0,2,25.5
247,17,Manchester,UK,2025,2,4,241,2,7.05,4.5,1,37.9
248,19,Chicago,USA,2025,4,37,3225,5,110.09,3.89,9,39.8
249,15,Kolkata,India,2025,4,11,895,3,28.89,3.88,4,33.1
250,20,Sydney,Australia,2024,8,3,212,0,5.39,2.75,2,24.2
251,8,Sydney,Australia,2025,3,7,320,1,11.29,2.33,3,22.7
252,6,Melbourne,Australia,2025,4,6,303,1,9.24,2.88,4,23.3
253,23,Singapore,Singapore,2025,4,6,409,3,15.87,4.5,1,36.0
254,10,Ahmedabad,India,2025,1,2,188,0,4.19,,0,25.3
255,22,Toronto,Canada,2025,2,6,553,1,18.49,3.83,3,30.4
256,11,New York,USA,2025,2,19,1697,2,50.53,4.0,6,31.9
257,5,Kolkata,India,2024,11,3,249,1,10.49,2.75,2,31.6
258,15,New York,USA,2025,4,25,2143,4,69.72,3.68,11,36.4
259,2,Ahmedabad,India,2025,2,4,411,0,13.59,4.0,1,25.0
260,5,Chennai,India,2024,9,2,159,0,6.2,4.5,1,20.3
261,24,Delhi,India,2025,3,8,566,2,18.27,3.0,1,30.9
262,16,Pune,India,2024,12,5,382,0,11.28,3.75,2,25.4
263,2,Chicago,USA,2025,2,2,220,0,6.07,,0,25.8
264,4,Pune,India,2025,4,14,1094,3,39.73,3.58,6,33.7
265,1,Delhi,India,2025,1,46,4726,4,156.4,4.33,21,47.1
266,3,Ahmedabad,India,2025,1,4,366,1,13.33,4.5,3,28.0
267,13,Ahmedabad,India,2025,3,10,1067,1,36.58,3.75,4,29.9
268,1,Bengaluru,India,2025,3,27,2693,5,77.6,4.56,9,41.7
269,14,New York,USA,2024,9,4,401,1,10.74,3.5,2,32.2
270,5,Hyderabad,India,2024,9,3,281,0,7.44,3.83,3,24.2
271,24,Pune,India,2025,3,6,461,2,10.9,3.5,3,34.4
272,14,Ahmedabad,India,2024,6,3,320,0,7.91,4.5,1,25.8
273,8,London,UK,2025,3,8,420,1,9.62,2.0,2,24.8
274,18,Delhi,India,2025,4,6,662,2,20.15,4.25,2,35.7
275,6,Bengaluru,India,2025,3,9,350,2,14.71,3.25,4,22.5
276,23,Mumbai,India,2025,2,19,1578,3,59.05,3.72,9,35.0
277,2,Sydney,Australia,2024,12,4,407,1,10.62,4.5,3,32.2
278,2,New York,USA,2025,3,3,292,1,7.76,3.75,2,33.3
279,25,Singapore,Singapore,2025,4,2,155,1,6.62,3.5,1,33.0
280,22,Mumbai,India,2025,2,8,621,2,24.26,3.6,5,30.1
281,4,Chicago,USA,2025,3,18,1458,2,41.08,4.6,5,33.0
282,11,Dubai,UAE,2025,2,11,898,2,28.98,4.17,3,29.1
283,1,New York,USA,2025,4,21,2184,4,58.71,4.5,6,40.6
284,25,Chicago,USA,2024,7,3,349,1,11.51,2.75,2,37.1
285,22,Delhi,India,2025,1,8,706,3,27.79,3.83,3,36.5
286,13,Hyderabad,India,2025,3,12,1225,0,44.4,3.8,5,26.7
287,5,New York,USA,2025,1,3,210,2,10.44,4.0,2,38.4
288,4,Singapore,Singapore,2025,3,5,425,0,10.51,4.0,4,25.6
289,25,Mumbai,India,2025,2,6,605,0,18.25,,0,24.8
290,3,Delhi,India,2025,3,11,1067,3,34.88,4.25,2,32.7
291,4,Houston,USA,2025,3,7,588,2,16.42,3.67,3,34.7
292,4,Delhi,India,2025,4,31,2460,5,90.6,3.92,13,39.3
293,24,Sydney,Australia,2025,4,8,584,2,18.97,3.5,6,31.6
294,15,Pune,India,2025,4,13,1168,1,29.88,3.9,5,30.2
295,20,Los Angeles,USA,2024,9,3,190,0,4.23,3.0,3,21.9
296,3,Chennai,India,2025,1,3,271,0,9.98,5.0,1,19.9
297,14,Bengaluru,India,2025,1,2,173,2,6.42,3.5,2,50.8
298,1,Manchester,UK,2025,1,19,2034,4,49.3,5.0,3,41.1
299,2,Delhi,India,2025,1,5,579,1,18.07,4.5,1,34.3
300,14,Ahmedabad,India,2024,12,2,184,0,7.0,4.5,1,22.0
301,18,New York,USA,2024,11,4,392,0,10.89,3.5,2,22.3
302,14,Hyderabad,India,2024,7,2,201,0,6.08,4.5,2,24.0
303,23,Chicago,USA,2025,2,12,1006,3,35.14,3.88,4,35.2
304,3,Dubai,UAE,2025,1,2,255,0,5.35,5.0,1,27.2
305,3,Hyderabad,India,2024,12,8,892,1,20.59,5.0,1,30.0
306,11,Chicago,USA,2025,4,14,1280,2,50.15,4.06,8,31.5
307,14,Melbourne,Australia,2025,3,3,254,1,10.31,,0,30.7
308,4,Kolkata,India,2025,2,10,829,2,27.93,4.33,3,33.0
309,19,Kolkata,India,2025,4,40,3751,3,97.76,4.21,17,40.8
310,16,Chennai,India,2024,11,7,442,0,12.71,3.67,3,22.1
311,23,Sydney,Australia,2025,3,5,462,0,14.53,3.8,5,27.2
312,19,Dubai,UAE,2025,4,11,1004,1,31.92,4.5,1,29.0
313,16,New York,USA,2025,3,2,149,0,4.32,5.0,1,23.6
314,14,Los Angeles,USA,2025,4,3,211,0,10.31,3.5,2,17.4
315,18,London,UK,2025,2,4,434,0,11.53,5.0,1,24.5
316,16,Chicago,USA,2024,11,5,349,3,9.37,3.67,3,41.4
317,16,Bengaluru,India,2025,3,4,322,1,8.86,4.38,4,33.7
318,6,Mumbai,India,2025,3,12,707,1,18.21,2.88,4,25.9
319,16,Mumbai,India,2024,12,10,695,1,23.93,3.88,4,28.3
320,16,Mumbai,India,2025,3,6,444,0,12.06,3.83,6,25.1
321,22,Los Angeles,USA,2025,2,10,888,3,33.45,3.88,4,35.2
322,18,Melbourne,Australia,2025,2,4,417,0,12.48,4.5,1,23.6
323,16,Manchester,UK,2025,2,4,329,0,7.83,2.5,1,26.8
324,2,Sydney,Australia,2025,1,4,412,0,11.54,4.5,2,25.0
325,8,Houston,USA,2025,2,5,207,1,7.61,,0,22.1
326,22,New York,USA,2024,12,7,688,1,17.06,3.75,2,31.7
327,14,London,UK,2025,3,4,390,0,14.07,3.75,2,24.1
328,5,Los Angeles,USA,2025,3,3,223,1,9.76,3.75,2,29.5
329,25,Melbourne,Australia,2024,7,2,207,0,7.33,4.0,1,23.8
330,10,Los Angeles,USA,2025,2,4,293,0,10.04,4.5,1,20.7
331,2,Ahmedabad,India,2025,3,2,190,0,6.84,4.5,1,22.4
332,17,Chicago,USA,2025,2,5,343,0,8.7,4.33,3,26.2
333,12,Chicago,USA,2025,2,5,365,0,10.85,4.0,1,23.5
334,13,Sydney,Australia,2025,4,23,2276,4,62.86,4.38,8,35.6
335,18,Bengaluru,India,2025,1,8,792,1,18.31,4.0,2,27.9
336,16,Hyderabad,India,2025,2,3,237,1,6.23,,0,35.4
337,2,Pune,India,2025,3,7,729,0,19.42,4.12,4,26.5
338,3,Toronto,Canada,2025,4,4,443,1,9.75,4.0,1,32.0
339,11,New York,USA,2025,3,17,1688,3,60.28,4.42,6,35.5
340,24,London,UK,2024,12,6,421,1,14.99,3.83,3,27.4
341,3,New York,USA,2025,3,11,1131,1,33.18,4.25,4,28.4
342,2,Pune,India,2024,11,5,501,1,17.18,,0,30.8
343,7,Hyderabad,India,2024,12,2,77,1,3.37,1.5,1,28.6
344,18,Pune,India,2025,1,4,356,2,9.01,,0,35.4
345,4,Mumbai,India,2025,4,27,2082,2,62.42,4.2,15,34.4
346,11,Nairobi,Kenya,2025,4,2,218,1,4.98,4.0,1,41.5
347,5,Ahmedabad,India,2024,12,3,290,0,10.02,4.0,1,25.0
348,10,New York,USA,2024,9,2,189,0,6.11,4.5,1,25.5
349,7,Ahmedabad,India,2025,1,8,379,2,11.85,2.75,4,26.5
350,5,Chennai,India,2024,11,4,300,0,13.98,4.0,2,20.0
351,13,Los Angeles,USA,2025,4,26,2780,5,72.47,3.96,13,39.1
352,22,Chennai,India,2024,11,5,402,0,13.52,4.0,3,22.1
353,25,Los Angeles,USA,2025,3,5,548,1,13.89,3.0,3,32.4
354,15,Mumbai,India,2025,4,27,2244,4,78.36,3.7,10,36.2
355,14,Delhi,India,2024,6,5,482,0,17.6,4.0,2,24.2
356,16,Houston,USA,2025,3,2,136,0,5.26,,0,21.6
357,1,Kolkata,India,2025,2,12,1270,3,34.43,4.5,5,39.2
358,10,Hyderabad,India,2024,10,3,266,1,8.01,5.0,1,34.3
359,24,Kolkata,India,2025,4,4,359,0,9.43,3.5,2,27.2
360,16,Ahmedabad,India,2025,2,4,302,1,10.49,3.25,2,32.2
361,4,Houston,USA,2025,4,10,790,1,28.89,3.25,2,28.9
362,13,London,UK,2025,3,14,1388,1,48.96,3.9,5,29.0
363,18,Los Angeles,USA,2024,11,7,743,2,18.35,4.38,4,33.8
364,18,Mumbai,India,2024,11,6,661,3,19.85,4.0,2,40.7
365,2,Bengaluru,India,2025,3,11,1171,1,33.4,4.36,7,31.3
366,5,Delhi,India,2024,9,7,589,1,24.27,3.9,5,27.8
367,7,Delhi,India,2025,2,2,88,0,3.46,2.5,1,15.5
368,17,Kolkata,India,2025,1,5,310,1,7.76,4.1,5,29.9
369,5,New York,USA,2025,4,10,1030,1,25.9,3.75,2,32.3
370,1,Ahmedabad,India,2025,3,9,943,0,30.22,4.5,4,30.2
371,25,Hyderabad,India,2025,2,3,322,0,9.57,2.5,1,25.1
372,1,Dubai,UAE,2025,1,8,821,1,25.24,4.17,3,33.0
