campaign_id,movie_id,channel,spend_usd,campaign_start,campaign_end,impressions,clicks,conversions,cpm,ctr,cost_per_conversion
27,6,Display Ads,271003.79,2025-01-21,2025-04-18,44304759,1712696,43221,6.12,3.87,6.27
28,7,Social Media,231209.53,2024-11-23,2024-12-26,22874876,921660,24368,10.11,4.03,9.49
29,7,OOH Billboard,429316.15,2024-11-15,2025-01-27,60965831,0,0,7.04,0,
30,7,Search Ads,218850.28,2024-11-13,2025-01-10,35901797,1616407,62652,6.1,4.5,3.49
31,7,TV Spot,72797.73,2024-11-18,2025-01-21,6671422,213968,1343,10.91,3.21,54.21
32,8,OOH Billboard,171408.21,2025-01-08,2025-03-20,33145439,0,0,5.17,0,
33,8,TV Spot,145964.46,2025-01-06,2025-03-08,14780332,867615,33024,9.88,5.87,4.42
34,8,Email,132760.26,2024-12-29,2025-03-13,13378182,557014,13896,9.92,4.16,9.55
35,9,Streaming Pre-roll,1663114.46,2025-02-19,2025-05-12,291699749,11848867,144019,5.7,4.06,11.55
36,9,Search Ads,1580022.5,2025-03-19,2025-05-05,200075724,4137895,42620,7.9,2.07,37.07
37,9,OOH Billboard,1071783.42,2025-03-16,2025-05-01,149440655,0,0,7.17,0,
38,9,Influencer,772271.97,2025-02-22,2025-05-04,143417029,6367769,131366,5.38,4.44,5.88
39,9,Email,340605.29,2025-03-18,2025-04-23,51925466,2667547,76774,6.56,5.14,4.44
40,9,Social Media,441489.58,2025-03-15,2025-05-26,41699843,1126156,44067,10.59,2.7,10.02
41,9,Display Ads,151041.11,2025-03-01,2025-05-04,25323874,593150,9103,5.96,2.34,16.59
42,10,OOH Billboard,2046735.13,2024-06-08,2024-08-08,400121877,0,0,5.12,0,
43,10,Search Ads,731319.55,2024-07-05,2024-08-19,136350695,3769502,129020,5.36,2.76,5.67
44,10,Influencer,600061.8,2024-06-27,2024-09-10,95570025,4624825,142396,6.28,4.84,4.21
45,10,Social Media,509501.29,2024-07-01,2024-09-08,46423534,2111552,34750,10.98,4.55,14.66
46,10,Display Ads,424432.18,2024-06-19,2024-08-19,69031745,2087014,65190,6.15,3.02,6.51
47,10,TV Spot,305533.69,2024-06-24,2024-08-31,49484677,2911852,101346,6.17,5.88,3.01
48,10,Email,134957.83,2024-07-05,2024-08-27,13929728,380735,9631,9.69,2.73,14.01
49,11,Search Ads,2650101.79,2025-01-10,2025-03-26,237244705,6066572,84995,11.17,2.56,31.18
50,11,Streaming Pre-roll,3527947.61,2025-01-06,2025-03-04,677516924,24376437,714756,5.21,3.6,4.94
51,11,Email,2465409.31,2024-12-25,2025-03-21,308081518,3652644,44878,8.0,1.19,54.94
52,12,Search Ads,335394.35,2024-09-03,2024-11-06,66732448,3808544,28619,5.03,5.71,11.72
53,12,Display Ads,540924.03,2024-08-31,2024-11-13,61229446,2157737,58876,8.83,3.52,9.19
54,12,Streaming Pre-roll,527551.33,2024-09-03,2024-11-28,74016029,3813913,25549,7.13,5.15,20.65
55,12,Social Media,452091.09,2024-09-23,2024-11-01,51869506,679778,18263,8.72,1.31,24.75
56,12,OOH Billboard,185843.93,2024-09-10,2024-11-15,16430387,0,0,11.31,0,
57,12,TV Spot,122378.43,2024-09-06,2024-11-09,21251141,853362,23357,5.76,4.02,5.24
58,13,TV Spot,1271823.31,2025-02-03,2025-05-11,210922882,10732502,56247,6.03,5.09,22.61
59,13,Search Ads,2138414.12,2025-02-27,2025-05-17,365263433,12974410,101865,5.85,3.55,20.99
60,13,Social Media,2841780.29,2025-02-16,2025-05-04,297564902,8618771,156349,9.55,2.9,18.18
61,13,Display Ads,1160465.14,2025-02-27,2025-04-15,125279478,6014025,102959,9.26,4.8,11.27
62,13,Streaming Pre-roll,1018059.45,2025-02-22,2025-04-13,121838009,5604374,116428,8.36,4.6,8.74
63,14,Display Ads,3032454.11,2024-05-05,2024-07-21,522997974,20273882,361290,5.8,3.88,8.39
64,14,Search Ads,962601.58,2024-05-07,2024-07-06,162694890,4906373,115554,5.92,3.02,8.33
65,14,TV Spot,2169024.29,2024-05-17,2024-07-07,258405140,9839209,160411,8.39,3.81,13.52
66,14,Social Media,1285628.92,2024-05-09,2024-06-15,237747103,13676465,509183,5.41,5.75,2.52
67,14,Influencer,1011256.87,2024-04-20,2024-06-24,108160380,4057037,32917,9.35,3.75,30.72
68,14,Streaming Pre-roll,732089.7,2024-04-19,2024-06-28,81681549,2304987,16785,8.96,2.82,43.62
69,15,Search Ads,829962.85,2025-01-22,2025-04-06,77292949,4290293,64904,10.74,5.55,12.79
70,15,Email,995339.77,2025-01-21,2025-04-13,142046409,7804384,233945,7.01,5.49,4.25
71,15,Social Media,641271.43,2025-01-24,2025-04-19,109329367,3870272,22397,5.87,3.54,28.63
72,16,Streaming Pre-roll,510293.56,2024-09-22,2024-11-27,94971077,2070418,29053,5.37,2.18,17.56
73,16,OOH Billboard,782759.22,2024-10-19,2024-11-30,89496730,0,0,8.75,0,
74,16,Social Media,809333.92,2024-10-13,2024-11-19,75820473,2095820,45757,10.67,2.76,17.69
75,16,Email,282428.38,2024-10-08,2024-12-28,54826426,803163,9019,5.15,1.46,31.31
76,16,TV Spot,235937.82,2024-10-18,2024-12-26,28581377,1447770,39478,8.25,5.07,5.98
77,16,Display Ads,211654.3,2024-10-01,2024-12-06,31016071,416964,14260,6.82,1.34,14.84
78,16,Influencer,95248.9,2024-10-20,2024-12-13,18976009,639053,14883,5.02,3.37,6.4
79,17,OOH Billboard,243622.89,2024-12-15,2025-03-10,26634651,0,0,9.15,0,
80,17,Email,116318.76,2024-12-16,2025-02-03,15969024,624906,13576,7.28,3.91,8.57
81,17,Streaming Pre-roll,99646.83,2024-12-23,2025-02-14,12712013,439002,13222,7.84,3.45,7.54
82,17,Social Media,263204.82,2024-11-28,2025-02-27,35177397,516288,7929,7.48,1.47,33.2
83,17,TV Spot,149400.11,2024-12-11,2025-01-26,15039238,429064,15760,9.93,2.85,9.48
84,18,Social Media,1202570.12,2024-08-21,2024-11-19,199261471,9268834,193641,6.04,4.65,6.21
85,18,Streaming Pre-roll,488777.01,2024-08-29,2024-11-06,49038578,2799621,27029,9.97,5.71,18.08
86,18,Email,1485463.75,2024-08-16,2024-11-25,172585441,5725385,39499,8.61,3.32,37.61
87,18,Search Ads,626443.37,2024-09-12,2024-11-23,120929230,5923305,222951,5.18,4.9,2.81
88,19,TV Spot,3747629.15,2025-03-23,2025-05-14,471118593,14662578,584962,7.95,3.11,6.41
89,19,Streaming Pre-roll,2653072.35,2025-03-23,2025-05-22,473325307,7465163,161105,5.61,1.58,16.47
90,19,OOH Billboard,2407360.1,2025-03-10,2025-06-02,472733426,0,0,5.09,0,
91,19,Search Ads,1363532.33,2025-03-16,2025-05-11,119392444,2349865,72641,11.42,1.97,18.77
92,19,Social Media,422396.49,2025-03-15,2025-05-28,34612363,1185256,40392,12.2,3.42,10.46
93,19,Influencer,813325.97,2025-03-14,2025-05-13,127402793,6734207,187584,6.38,5.29,4.34
94,19,Display Ads,251613.01,2025-03-08,2025-05-30,40130899,549744,10296,6.27,1.37,24.44
95,20,Display Ads,600815.28,2024-07-23,2024-09-06,51753864,1342449,19912,11.61,2.59,30.17
96,20,Streaming Pre-roll,212284.75,2024-07-29,2024-10-18,34527537,1936975,68078,6.15,5.61,3.12
97,20,Influencer,137312.8,2024-08-02,2024-10-10,15186273,688588,23625,9.04,4.53,5.81
98,21,TV Spot,2877814.17,2025-02-24,2025-05-12,306215899,4228139,161626,9.4,1.38,17.81
99,21,OOH Billboard,903053.12,2025-02-16,2025-05-24,160117113,0,0,5.64,0,
100,21,Streaming Pre-roll,1625549.44,2025-02-14,2025-05-18,246664993,6968045,221417,6.59,2.82,7.34
101,21,Display Ads,426457.79,2025-02-27,2025-04-12,70718019,1352936,41677,6.03,1.91,10.23
102,21,Influencer,727833.55,2025-03-05,2025-04-26,114072803,4871618,137670,6.38,4.27,5.29
103,22,Search Ads,2873354.51,2024-10-16,2024-12-23,441444184,23406566,456185,6.51,5.3,6.3
104,22,Streaming Pre-roll,2955922.34,2024-10-11,2024-12-04,420464949,22673054,387682,7.03,5.39,7.62
105,22,TV Spot,1952566.22,2024-10-05,2024-11-17,310415475,12469768,310353,6.29,4.02,6.29
106,22,Influencer,564565.07,2024-09-20,2024-11-26,98855006,5262659,29308,5.71,5.32,19.26
107,23,Email,616969.45,2025-01-10,2025-03-20,88519688,3639889,36949,6.97,4.11,16.7
108,23,Display Ads,1028510.91,2025-01-13,2025-03-13,169605415,2331429,78847,6.06,1.37,13.04
109,23,Streaming Pre-roll,490879.7,2024-12-29,2025-03-06,79921681,3134673,123119,6.14,3.92,3.99
110,24,Social Media,1180613.94,2024-11-21,2025-01-25,214282702,6639374,180109,5.51,3.1,6.55
111,24,Influencer,1274621.85,2024-11-10,2025-02-14,235000086,10377618,67182,5.42,4.42,18.97
112,24,Display Ads,755156.87,2024-11-09,2025-02-17,139907957,4336488,147022,5.4,3.1,5.14
113,24,TV Spot,197572.73,2024-12-05,2025-02-10,32496068,1456351,54226,6.08,4.48,3.64
114,24,Email,112901.95,2024-11-30,2025-02-08,21237150,359404,4602,5.32,1.69,24.53
115,24,Streaming Pre-roll,369149.06,2024-11-24,2025-02-17,59616360,1263282,49431,6.19,2.12,7.47
116,24,OOH Billboard,126937.92,2024-11-10,2025-02-10,22206917,0,0,5.72,0,
117,25,Influencer,2711189.52,2024-06-12,2024-08-04,509691862,10036704,379971,5.32,1.97,7.14
118,25,Social Media,2757552.02,2024-05-22,2024-08-02,370367914,20270747,211955,7.45,5.47,13.01
119,25,Streaming Pre-roll,1411447.44,2024-06-18,2024-07-30,158542507,2067956,18567,8.9,1.3,76.02
120,25,Display Ads,722255.77,2024-06-04,2024-08-05,95131953,4133714,66990,7.59,4.35,10.78
121,25,TV Spot,467632.16,2024-05-24,2024-08-04,52113310,1491767,51313,8.97,2.86,9.11
122,25,Email,573064.48,2024-05-26,2024-08-21,89728315,4316327,108649,6.39,4.81,5.27
123,25,OOH Billboard,974836.6,2024-06-08,2024-08-19,170996356,0,0,5.7,0,
