review_id,viewer_id,movie_id,rating,review_date,sentiment,review_text,helpful_votes
59,1016,7,2.5,2025-01-04,Neutral,Nothing special but enjoyable.,25
60,599,22,4.5,2024-12-19,Positive,One of the best this year.,105
61,425,19,4.5,2025-04-29,Positive,Absolutely loved it!,73
62,740,15,4.5,2025-04-17,Positive,Top-tier storytelling.,22
63,544,1,5.0,2025-04-07,Positive,A visual masterpiece.,73
64,765,15,3.5,2025-04-26,Neutral,Decent watch.,56
65,817,15,4.0,2025-03-19,Positive,Great performances all around.,97
66,1151,11,4.5,2025-03-28,Positive,A visual masterpiece.,21
67,428,2,3.5,2024-12-11,Neutral,Decent watch.,94
68,1064,11,5.0,2025-03-06,Positive,Highly recommend.,63
69,334,4,5.0,2025-03-05,Positive,One of the best this year.,46
70,220,12,3.0,2025-03-29,Neutral,Had its highs and lows.,54
71,305,15,4.5,2025-03-06,Positive,Gripping from start to finish.,115
72,616,4,4.5,2025-02-17,Positive,Gripping from start to finish.,30
73,694,1,5.0,2025-04-01,Positive,Highly recommend.,76
74,1134,9,4.0,2025-04-08,Positive,Exceeded my expectations.,101
75,911,8,2.0,2025-03-21,Negative,Very disappointing.,10
76,781,9,4.0,2025-04-18,Positive,Absolutely loved it!,11
77,277,6,2.5,2025-04-01,Neutral,Worth a one-time watch.,48
78,1150,2,3.5,2024-10-13,Neutral,Average for its genre.,39
79,331,17,4.0,2025-03-17,Positive,Exceeded my expectations.,107
80,594,9,4.0,2025-04-07,Positive,A visual masterpiece.,119
81,599,5,3.0,2025-01-06,Neutral,Nothing special but enjoyable.,39
82,1031,11,3.0,2025-04-21,Neutral,Nothing special but enjoyable.,77
83,1112,9,4.0,2025-04-11,Positive,Absolutely loved it!,20
84,679,24,2.0,2025-04-07,Negative,Poor writing overall.,49
85,175,23,3.5,2025-04-16,Neutral,Nothing special but enjoyable.,38
86,710,16,3.5,2025-03-18,Neutral,Decent watch.,37
87,879,25,4.5,2024-08-05,Positive,Will watch again.,75
88,1069,2,4.0,2025-04-18,Positive,Top-tier storytelling.,14
89,268,9,5.0,2025-04-21,Positive,Will watch again.,35
90,1001,5,3.5,2024-10-06,Neutral,Nothing special but enjoyable.,103
91,785,5,3.5,2025-03-28,Neutral,Some good moments.,106
92,1160,18,3.0,2025-01-03,Neutral,Decent watch.,74
93,978,5,3.0,2024-12-10,Neutral,Some good moments.,92
94,14,5,3.0,2025-01-02,Neutral,Decent watch.,9
95,1144,1,5.0,2025-01-23,Positive,Top-tier storytelling.,103
96,945,9,4.5,2025-04-16,Positive,Exceeded my expectations.,56
97,801,13,4.5,2025-03-28,Positive,One of the best this year.,8
98,932,4,4.5,2025-04-30,Positive,Exceeded my expectations.,65
99,977,14,4.5,2024-06-11,Positive,Absolutely loved it!,71
100,150,16,3.5,2024-11-14,Neutral,Worth a one-time watch.,66
101,672,22,4.0,2025-01-23,Positive,Exceeded my expectations.,43
102,48,13,4.0,2025-04-12,Positive,Exceeded my expectations.,25
103,641,2,4.5,2025-04-16,Positive,Absolutely loved it!,69
104,586,13,5.0,2025-04-15,Positive,Top-tier storytelling.,78
105,139,21,4.5,2025-04-27,Positive,Top-tier storytelling.,38
106,963,21,5.0,2025-04-24,Positive,One of the best this year.,17
107,699,15,3.5,2025-04-24,Neutral,Had its highs and lows.,117
108,153,1,4.0,2025-01-29,Positive,Absolutely loved it!,117
109,170,1,4.5,2025-04-23,Positive,Highly recommend.,85
110,535,17,4.5,2025-02-27,Positive,One of the best this year.,10
111,540,7,3.0,2025-01-17,Neutral,Average for its genre.,36
112,213,13,4.5,2025-04-17,Positive,Gripping from start to finish.,6
113,388,11,4.0,2025-04-22,Positive,Highly recommend.,51
114,878,14,5.0,2024-12-09,Positive,Highly recommend.,76
115,826,1,4.5,2025-04-04,Positive,Gripping from start to finish.,116
116,255,7,1.5,2024-12-18,Negative,Wasted potential.,55
117,497,19,4.5,2025-04-17,Positive,A visual masterpiece.,14
118,282,9,5.0,2025-04-25,Positive,A visual masterpiece.,72
119,560,18,3.5,2024-10-13,Neutral,Nothing special but enjoyable.,112
120,191,13,5.0,2025-04-25,Positive,Absolutely loved it!,61
121,313,14,2.0,2024-07-25,Negative,Would not recommend.,120
122,303,21,4.5,2025-04-11,Positive,Will watch again.,87
123,699,13,3.5,2025-05-01,Neutral,Some good moments.,46
124,536,11,4.0,2025-03-21,Positive,Top-tier storytelling.,85
125,1070,21,3.5,2025-04-02,Neutral,Average for its genre.,44
126,515,1,5.0,2025-01-20,Positive,Highly recommend.,104
127,296,22,4.0,2025-04-23,Positive,Will watch again.,81
128,960,14,3.5,2024-11-11,Neutral,Average for its genre.,106
129,4,25,3.5,2024-09-25,Neutral,Some good moments.,90
130,415,9,4.0,2025-04-08,Positive,Great performances all around.,39
131,298,15,2.5,2025-04-21,Neutral,Average for its genre.,59
132,774,4,5.0,2025-04-03,Positive,Highly recommend.,68
133,388,15,3.5,2025-04-17,Neutral,Nothing special but enjoyable.,61
134,1117,20,3.0,2024-08-28,Neutral,Some good moments.,92
135,1062,8,2.0,2025-03-15,Negative,Slow and boring.,42
136,912,13,4.5,2025-03-19,Positive,Absolutely loved it!,2
137,476,19,4.0,2025-04-20,Positive,A visual masterpiece.,44
138,1190,2,3.0,2025-02-12,Neutral,Average for its genre.,8
139,1105,6,2.5,2025-04-11,Neutral,Nothing special but enjoyable.,103
140,630,22,3.0,2025-02-26,Neutral,Some good moments.,43
141,790,11,3.5,2025-02-12,Neutral,Average for its genre.,43
142,56,21,4.5,2025-04-04,Positive,A visual masterpiece.,106
143,841,1,5.0,2025-05-02,Positive,Great performances all around.,4
144,84,1,5.0,2025-03-25,Positive,Gripping from start to finish.,59
145,725,9,3.5,2025-04-12,Neutral,Average for its genre.,66
146,802,5,4.5,2024-09-08,Positive,One of the best this year.,26
147,702,24,3.5,2025-03-26,Neutral,Nothing special but enjoyable.,11
148,75,23,3.5,2025-02-12,Neutral,Decent watch.,90
149,1117,2,5.0,2024-12-08,Positive,Gripping from start to finish.,105
150,1045,25,3.5,2025-04-12,Neutral,Worth a one-time watch.,37
151,611,9,4.5,2025-04-22,Positive,Great performances all around.,20
152,1058,13,4.0,2025-03-30,Positive,Highly recommend.,100
153,790,19,4.5,2025-04-28,Positive,One of the best this year.,1
154,428,25,2.5,2024-07-18,Neutral,Nothing special but enjoyable.,29
155,520,22,4.5,2025-01-20,Positive,A visual masterpiece.,58
156,806,5,5.0,2025-01-19,Positive,Highly recommend.,84
157,698,4,4.5,2025-03-17,Positive,Will watch again.,29
158,857,1,4.5,2025-02-19,Positive,A visual masterpiece.,18
159,242,19,4.5,2025-04-19,Positive,Gripping from start to finish.,42
160,506,24,4.0,2025-04-05,Positive,Highly recommend.,18
161,129,20,3.0,2024-09-25,Neutral,Decent watch.,71
162,218,3,5.0,2025-01-06,Positive,One of the best this year.,68
163,66,14,3.5,2025-01-30,Neutral,Decent watch.,72
164,652,3,5.0,2025-04-14,Positive,A visual masterpiece.,96
165,846,23,4.0,2025-04-23,Positive,Great performances all around.,47
166,67,14,5.0,2024-07-16,Positive,Will watch again.,52
167,462,23,4.0,2025-03-01,Positive,Highly recommend.,31
168,4,8,3.5,2025-02-11,Neutral,Nothing special but enjoyable.,23
169,825,23,4.5,2025-03-16,Positive,Will watch again.,62
170,835,4,4.0,2025-02-20,Positive,A visual masterpiece.,101
171,942,19,4.5,2025-04-14,Positive,Top-tier storytelling.,47
172,415,1,4.0,2025-01-31,Positive,Great performances all around.,18
173,726,23,5.0,2025-03-23,Positive,Top-tier storytelling.,42
174,616,14,3.0,2025-04-27,Neutral,Decent watch.,51
175,258,18,5.0,2025-02-05,Positive,Absolutely loved it!,43
176,998,16,3.5,2024-11-22,Neutral,Average for its genre.,52
177,84,16,4.0,2025-03-08,Positive,Great performances all around.,67
178,805,6,3.0,2025-03-10,Neutral,Nothing special but enjoyable.,114
179,569,16,3.0,2024-12-14,Neutral,Average for its genre.,61
180,769,9,3.5,2025-04-08,Neutral,Average for its genre.,84
181,812,16,4.5,2025-03-27,Positive,Top-tier storytelling.,11
182,1058,22,4.5,2025-02-15,Positive,Absolutely loved it!,97
183,565,16,2.5,2025-02-10,Neutral,Decent watch.,69
184,610,24,3.5,2025-04-27,Neutral,Worth a one-time watch.,82
185,442,8,2.5,2025-03-10,Neutral,Nothing special but enjoyable.,50
186,423,2,5.0,2025-01-30,Positive,A visual masterpiece.,14
187,177,1,3.5,2025-01-23,Neutral,Some good moments.,60
188,637,10,4.5,2025-02-28,Positive,Top-tier storytelling.,15
189,158,17,4.5,2025-02-07,Positive,Top-tier storytelling.,62
190,823,13,4.5,2025-04-03,Positive,Will watch again.,38
191,656,25,4.0,2024-11-22,Positive,Absolutely loved it!,21
192,69,15,4.0,2025-05-02,Positive,A visual masterpiece.,116
193,348,13,4.0,2025-04-28,Positive,Top-tier storytelling.,11
194,311,18,3.5,2025-01-03,Neutral,Some good moments.,53
195,906,2,4.5,2025-03-07,Positive,Highly recommend.,12
196,159,3,5.0,2025-03-07,Positive,A visual masterpiece.,48
197,722,4,4.5,2025-04-11,Positive,Highly recommend.,113
198,987,9,4.5,2025-04-15,Positive,One of the best this year.,120
199,1032,14,4.5,2024-07-15,Positive,Gripping from start to finish.,80
200,511,11,4.0,2025-04-23,Positive,Absolutely loved it!,89
201,283,5,4.0,2024-12-26,Positive,Absolutely loved it!,98
202,272,13,4.0,2025-04-05,Positive,Highly recommend.,8
203,1108,13,4.0,2025-04-24,Positive,A visual masterpiece.,19
204,523,22,3.5,2024-11-28,Neutral,Decent watch.,89
205,157,10,5.0,2024-10-23,Positive,A visual masterpiece.,113
206,7,15,3.5,2025-03-30,Neutral,Had its highs and lows.,14
207,714,16,3.5,2025-02-15,Neutral,Worth a one-time watch.,58
208,418,19,3.5,2025-04-26,Neutral,Some good moments.,53
209,1043,2,4.5,2025-04-02,Positive,Top-tier storytelling.,22
210,969,5,4.5,2024-09-12,Positive,Great performances all around.,15
211,334,17,4.0,2025-01-30,Positive,Top-tier storytelling.,44
212,1187,1,4.0,2025-03-09,Positive,A visual masterpiece.,59
213,247,1,4.0,2025-01-26,Positive,A visual masterpiece.,31
214,537,11,4.5,2025-02-13,Positive,A visual masterpiece.,120
215,994,16,4.5,2025-01-08,Positive,Exceeded my expectations.,29
216,663,14,4.0,2025-02-22,Positive,Will watch again.,57
217,176,19,5.0,2025-04-27,Positive,Exceeded my expectations.,88
218,594,13,3.0,2025-03-24,Neutral,Some good moments.,52
219,58,19,5.0,2025-04-16,Positive,Gripping from start to finish.,113
220,792,10,3.0,2024-12-11,Neutral,Some good moments.,45
221,813,15,4.0,2025-04-03,Positive,Gripping from start to finish.,94
222,32,1,4.0,2025-04-14,Positive,Gripping from start to finish.,103
223,608,11,4.5,2025-04-18,Positive,Exceeded my expectations.,91
224,844,1,4.5,2025-01-19,Positive,One of the best this year.,109
225,622,3,4.5,2024-12-22,Positive,Gripping from start to finish.,18
226,570,21,4.5,2025-03-29,Positive,Great performances all around.,95
227,414,11,4.0,2025-04-19,Positive,One of the best this year.,93
228,1168,2,5.0,2025-04-01,Positive,Exceeded my expectations.,27
229,1123,18,3.5,2025-04-02,Neutral,Nothing special but enjoyable.,108
230,393,18,3.5,2025-03-17,Neutral,Average for its genre.,78
231,381,14,3.5,2024-06-16,Neutral,Worth a one-time watch.,16
232,838,11,4.0,2025-04-25,Positive,Gripping from start to finish.,109
233,508,18,4.0,2025-04-17,Positive,Will watch again.,54
234,1161,1,5.0,2025-01-21,Positive,Top-tier storytelling.,8
235,364,8,4.0,2025-03-05,Positive,One of the best this year.,0
236,169,9,4.0,2025-04-13,Positive,Highly recommend.,49
237,188,1,4.5,2025-03-21,Positive,Exceeded my expectations.,60
238,33,22,4.0,2025-04-02,Positive,Absolutely loved it!,95
239,672,15,2.5,2025-03-11,Neutral,Decent watch.,114
240,596,19,4.0,2025-04-21,Positive,Gripping from start to finish.,11
241,189,9,3.5,2025-04-30,Neutral,Average for its genre.,55
242,10,8,2.0,2025-02-17,Negative,Poor writing overall.,10
243,212,4,4.0,2025-03-29,Positive,Top-tier storytelling.,40
244,1005,1,4.5,2025-01-27,Positive,Absolutely loved it!,84
245,501,16,4.0,2024-11-10,Positive,Exceeded my expectations.,90
246,799,13,3.5,2025-04-18,Neutral,Average for its genre.,73
247,1175,18,5.0,2024-11-07,Positive,Top-tier storytelling.,36
248,208,16,4.0,2025-04-24,Positive,Will watch again.,40
249,1192,1,5.0,2025-03-09,Positive,Top-tier storytelling.,105
250,444,1,4.5,2025-04-04,Positive,Absolutely loved it!,46
251,232,23,4.5,2025-03-30,Positive,Exceeded my expectations.,63
252,996,4,4.0,2025-04-23,Positive,A visual masterpiece.,84
253,1192,2,4.0,2024-10-03,Positive,Absolutely loved it!,16
254,341,19,3.5,2025-04-28,Neutral,Had its highs and lows.,102
255,935,13,3.0,2025-04-09,Neutral,Worth a one-time watch.,85
256,1041,9,4.5,2025-04-13,Positive,One of the best this year.,69
257,1123,1,4.5,2025-02-07,Positive,Top-tier storytelling.,50
258,541,13,4.0,2025-03-26,Positive,Great performances all around.,24
259,710,7,2.5,2025-01-27,Neutral,Average for its genre.,109
260,1000,18,3.0,2025-03-01,Neutral,Had its highs and lows.,26
261,181,21,4.0,2025-04-16,Positive,Gripping from start to finish.,14
262,994,11,4.5,2025-04-29,Positive,Top-tier storytelling.,92
263,378,24,4.0,2025-01-01,Positive,Top-tier storytelling.,14
264,1002,6,2.5,2025-03-10,Neutral,Decent watch.,60
265,113,1,4.5,2025-02-08,Positive,A visual masterpiece.,118
266,1111,5,4.5,2024-10-12,Positive,Exceeded my expectations.,64
267,592,13,5.0,2025-03-28,Positive,A visual masterpiece.,55
268,855,9,4.0,2025-04-15,Positive,A visual masterpiece.,14
269,431,19,4.5,2025-05-03,Positive,A visual masterpiece.,23
270,342,3,4.5,2025-03-11,Positive,Great performances all around.,16
271,94,2,4.0,2025-04-03,Positive,Absolutely loved it!,113
272,801,10,3.5,2024-09-06,Neutral,Had its highs and lows.,0
273,723,21,3.0,2025-04-11,Neutral,Some good moments.,4
274,577,12,3.5,2025-05-02,Neutral,Average for its genre.,38
275,319,23,3.5,2025-02-26,Neutral,Nothing special but enjoyable.,110
276,147,13,4.5,2025-05-02,Positive,One of the best this year.,91
277,577,1,4.0,2025-01-21,Positive,Great performances all around.,67
278,252,13,4.0,2025-04-20,Positive,Gripping from start to finish.,28
279,758,3,4.0,2025-04-16,Positive,Top-tier storytelling.,63
280,639,4,3.5,2025-04-12,Neutral,Had its highs and lows.,36
281,67,21,4.0,2025-04-09,Positive,A visual masterpiece.,47
282,1034,24,3.0,2025-04-21,Neutral,Decent watch.,2
283,468,25,3.5,2024-10-04,Neutral,Average for its genre.,99
284,504,6,4.0,2025-04-22,Positive,Great performances all around.,96
285,931,2,3.0,2025-02-23,Neutral,Worth a one-time watch.,58
286,1051,16,4.0,2025-01-01,Positive,Exceeded my expectations.,44
287,531,25,3.5,2025-02-27,Neutral,Nothing special but enjoyable.,59
288,1117,1,5.0,2025-03-08,Positive,One of the best this year.,56
289,554,9,4.5,2025-04-08,Positive,A visual masterpiece.,43
290,352,4,4.0,2025-04-09,Positive,A visual masterpiece.,7
291,425,15,3.0,2025-03-18,Neutral,Decent watch.,30
292,211,4,3.5,2025-04-01,Neutral,Nothing special but enjoyable.,35
293,919,23,4.5,2025-03-07,Positive,Top-tier storytelling.,68
294,497,17,4.0,2025-04-12,Positive,Will watch again.,83
295,441,10,4.0,2025-03-15,Positive,Absolutely loved it!,43
296,83,13,3.5,2025-04-03,Neutral,Worth a one-time watch.,48
297,577,7,3.5,2025-01-25,Neutral,Worth a one-time watch.,30
298,493,23,3.5,2025-03-03,Neutral,Nothing special but enjoyable.,69
299,426,11,3.5,2025-02-26,Neutral,Had its highs and lows.,33
300,1127,11,4.5,2025-04-30,Positive,A visual masterpiece.,73
301,727,21,4.0,2025-04-16,Positive,One of the best this year.,82
302,869,9,3.5,2025-04-15,Neutral,Average for its genre.,70
303,713,19,4.0,2025-04-23,Positive,Great performances all around.,46
304,437,9,4.5,2025-04-22,Positive,Highly recommend.,2
305,506,15,4.0,2025-04-22,Positive,Absolutely loved it!,93
306,883,13,4.5,2025-04-11,Positive,Top-tier storytelling.,104
307,57,18,3.5,2025-04-06,Neutral,Average for its genre.,97
308,999,1,5.0,2025-04-09,Positive,Exceeded my expectations.,25
309,1118,22,4.5,2025-04-15,Positive,Top-tier storytelling.,64
310,879,23,4.0,2025-04-04,Positive,Great performances all around.,104
311,1160,21,4.5,2025-04-10,Positive,Absolutely loved it!,16
312,109,22,3.5,2024-12-25,Neutral,Worth a one-time watch.,52
313,174,7,3.0,2024-12-27,Neutral,Decent watch.,96
314,429,14,4.0,2024-11-30,Positive,Absolutely loved it!,39
315,209,22,4.0,2025-04-09,Positive,Will watch again.,45
316,562,23,4.0,2025-04-25,Positive,Absolutely loved it!,2
317,827,13,4.0,2025-04-13,Positive,Exceeded my expectations.,67
318,930,23,3.0,2025-03-04,Neutral,Average for its genre.,18
319,871,1,4.0,2025-03-30,Positive,One of the best this year.,59
320,6,21,3.5,2025-04-17,Neutral,Worth a one-time watch.,55
321,731,2,5.0,2025-03-07,Positive,Exceeded my expectations.,61
322,325,1,5.0,2025-03-12,Positive,A visual masterpiece.,44
323,264,2,4.0,2024-12-04,Positive,Gripping from start to finish.,98
324,498,25,3.5,2024-09-18,Neutral,Some good moments.,105
325,571,20,2.5,2024-10-07,Neutral,Average for its genre.,11
326,369,8,4.0,2025-03-04,Positive,Top-tier storytelling.,106
327,72,19,4.0,2025-04-28,Positive,Will watch again.,75
328,101,1,5.0,2025-04-05,Positive,Will watch again.,101
329,167,4,3.5,2025-03-27,Neutral,Decent watch.,15
330,972,8,3.5,2025-03-09,Neutral,Had its highs and lows.,113
331,624,21,4.5,2025-04-15,Positive,Gripping from start to finish.,72
332,408,1,5.0,2025-01-24,Positive,One of the best this year.,33
333,1138,1,3.5,2025-01-24,Neutral,Some good moments.,13
334,419,22,4.5,2024-12-25,Positive,Gripping from start to finish.,91
335,912,15,3.5,2025-03-08,Neutral,Decent watch.,12
336,283,24,2.0,2025-01-29,Negative,Wasted potential.,60
337,1193,25,2.5,2024-08-23,Neutral,Had its highs and lows.,63
338,21,12,3.0,2024-11-12,Neutral,Nothing special but enjoyable.,78
339,177,3,5.0,2025-03-16,Positive,Absolutely loved it!,10
340,161,23,4.0,2025-04-15,Positive,Exceeded my expectations.,102
341,589,15,3.5,2025-04-25,Neutral,Worth a one-time watch.,16
342,325,24,3.0,2025-03-25,Neutral,Some good moments.,100
343,377,15,3.5,2025-03-15,Neutral,Average for its genre.,33
344,926,11,3.0,2025-02-01,Neutral,Decent watch.,66
345,470,1,4.5,2025-01-23,Positive,Exceeded my expectations.,7
346,159,1,4.0,2025-03-15,Positive,A visual masterpiece.,13
347,68,11,4.5,2025-04-14,Positive,Exceeded my expectations.,15
348,406,21,5.0,2025-04-23,Positive,One of the best this year.,85
349,308,1,4.0,2025-01-29,Positive,A visual masterpiece.,82
350,1097,15,4.0,2025-04-26,Positive,Will watch again.,64
351,744,11,3.0,2025-03-01,Neutral,Nothing special but enjoyable.,12
352,874,24,4.0,2025-01-28,Positive,Top-tier storytelling.,60
353,682,3,4.5,2025-03-29,Positive,Top-tier storytelling.,14
354,930,4,4.0,2025-03-31,Positive,Absolutely loved it!,47
355,1177,3,5.0,2025-02-11,Positive,Great performances all around.,29
356,1058,4,5.0,2025-04-23,Positive,Great performances all around.,105
357,950,1,5.0,2025-02-14,Positive,Great performances all around.,26
358,527,9,4.0,2025-04-15,Positive,A visual masterpiece.,46
359,827,19,4.0,2025-04-17,Positive,Absolutely loved it!,19
360,504,3,5.0,2025-01-09,Positive,Absolutely loved it!,59
361,658,3,4.0,2025-03-23,Positive,Great performances all around.,40
362,251,25,5.0,2025-04-25,Positive,One of the best this year.,1
363,342,5,4.5,2024-09-23,Positive,One of the best this year.,5
364,321,2,3.5,2025-02-06,Neutral,Some good moments.,89
365,556,15,3.0,2025-04-05,Neutral,Worth a one-time watch.,95
366,435,19,4.5,2025-04-18,Positive,Top-tier storytelling.,2
367,767,2,4.0,2024-12-18,Positive,Top-tier storytelling.,72
368,1121,17,3.5,2025-01-17,Neutral,Worth a one-time watch.,2
369,942,13,4.0,2025-04-06,Positive,One of the best this year.,68
370,854,14,3.5,2024-06-14,Neutral,Nothing special but enjoyable.,41
371,997,21,4.0,2025-03-30,Positive,A visual masterpiece.,10
372,338,1,3.5,2025-04-04,Neutral,Worth a one-time watch.,104
373,842,13,3.5,2025-05-03,Neutral,Average for its genre.,82
374,1180,21,5.0,2025-04-08,Positive,Highly recommend.,6
375,149,25,3.5,2025-05-03,Neutral,Some good moments.,45
376,782,2,3.5,2025-01-28,Neutral,Average for its genre.,27
377,763,19,4.0,2025-04-22,Positive,Gripping from start to finish.,52
378,792,4,4.5,2025-04-15,Positive,Will watch again.,78
379,322,12,4.0,2024-11-21,Positive,A visual masterpiece.,57
380,894,23,4.5,2025-03-31,Positive,Absolutely loved it!,68
381,654,11,3.5,2025-03-15,Neutral,Had its highs and lows.,11
382,1185,21,4.0,2025-05-02,Positive,One of the best this year.,77
383,92,1,5.0,2025-03-20,Positive,Top-tier storytelling.,41
384,427,5,3.5,2024-09-18,Neutral,Had its highs and lows.,19
385,1139,23,5.0,2025-03-06,Positive,Great performances all around.,112
386,739,2,4.0,2025-02-21,Positive,Top-tier storytelling.,34
387,869,15,3.5,2025-03-27,Neutral,Had its highs and lows.,113
388,950,21,4.5,2025-04-12,Positive,Gripping from start to finish.,96
389,61,23,4.0,2025-04-27,Positive,Top-tier storytelling.,104
390,646,3,5.0,2024-12-12,Positive,A visual masterpiece.,28
391,826,2,4.0,2025-04-01,Positive,Top-tier storytelling.,107
392,591,5,3.0,2025-02-22,Neutral,Worth a one-time watch.,105
393,995,5,4.0,2025-01-17,Positive,Exceeded my expectations.,4
394,799,5,4.0,2025-03-30,Positive,Top-tier storytelling.,12
395,1139,13,4.5,2025-04-16,Positive,Will watch again.,23
396,183,1,4.5,2025-03-27,Positive,One of the best this year.,42
397,31,9,3.5,2025-04-12,Neutral,Nothing special but enjoyable.,70
398,851,18,3.0,2025-01-01,Neutral,Had its highs and lows.,84
399,326,24,4.0,2025-01-17,Positive,Highly recommend.,53
400,319,12,3.0,2024-10-16,Neutral,Some good moments.,86
401,810,11,4.5,2025-04-14,Positive,One of the best this year.,81
402,55,13,4.0,2025-04-02,Positive,Exceeded my expectations.,114
403,1046,15,4.0,2025-04-19,Positive,Top-tier storytelling.,105
404,816,3,4.5,2025-04-25,Positive,Highly recommend.,89
405,1174,4,3.5,2025-03-05,Neutral,Average for its genre.,100
406,1092,25,3.0,2024-12-15,Neutral,Had its highs and lows.,21
407,246,2,4.5,2024-08-22,Positive,Absolutely loved it!,82
408,254,13,4.5,2025-03-20,Positive,A visual masterpiece.,105
409,1200,1,5.0,2025-01-30,Positive,Highly recommend.,19
410,735,22,3.0,2025-03-22,Neutral,Worth a one-time watch.,90
411,347,1,2.5,2025-04-27,Neutral,Decent watch.,32
412,933,20,3.0,2024-08-21,Neutral,Average for its genre.,78
413,590,21,5.0,2025-05-02,Positive,Highly recommend.,23
414,401,9,3.5,2025-04-29,Neutral,Had its highs and lows.,5
415,531,1,4.0,2025-03-14,Positive,One of the best this year.,7
416,1154,12,4.5,2025-03-24,Positive,One of the best this year.,101
417,1008,12,5.0,2025-01-31,Positive,One of the best this year.,54
418,1141,4,3.5,2025-04-24,Neutral,Decent watch.,96
419,302,11,3.5,2025-03-18,Neutral,Had its highs and lows.,20
420,466,10,4.0,2025-02-05,Positive,Gripping from start to finish.,62
421,790,22,3.5,2025-04-25,Neutral,Had its highs and lows.,103
422,265,23,3.5,2025-03-17,Neutral,Nothing special but enjoyable.,63
