activity_id,viewer_id,movie_id,watch_date,watch_duration_minutes,completion_rate,device,platform,rewatched
98,13,3,2025-02-01,142,0.98,Tablet,TV App,False
99,93,22,2025-02-08,96,0.8,Mobile,iOS,False
100,1174,8,2025-03-09,61,0.7,Mobile,TV App,False
101,391,10,2024-07-27,60,0.53,Mobile,Web,True
102,767,1,2025-02-16,93,0.79,Smart TV,Android,False
103,1088,22,2025-01-20,91,0.76,Smart TV,Android,False
104,437,3,2025-01-15,89,0.62,Smart TV,iOS,False
105,527,25,2024-07-20,79,0.59,Smart TV,Web,False
106,964,4,2025-03-18,79,0.74,Smart TV,iOS,False
107,360,14,2024-09-30,105,0.81,Smart TV,iOS,False
108,872,18,2024-10-19,107,0.76,Tablet,Android,False
109,1176,11,2025-03-07,99,0.78,Smart TV,iOS,False
110,22,14,2024-11-23,94,0.73,Smart TV,iOS,False
111,161,7,2025-01-06,33,0.37,Smart TV,Web,True
112,420,7,2024-12-20,64,0.72,Smart TV,iOS,False
113,616,11,2025-02-23,97,0.77,Tablet,Web,False
114,1139,21,2025-04-28,91,0.59,Smart TV,Web,False
115,417,25,2025-03-22,98,0.73,Laptop,Web,False
116,998,2,2025-03-28,91,0.69,Smart TV,Android,False
117,73,25,2025-02-28,85,0.63,Smart TV,Android,False
118,970,1,2025-04-14,118,1.0,Laptop,Web,False
119,333,22,2024-12-18,103,0.86,Smart TV,Android,False
120,711,14,2024-12-18,106,0.82,Smart TV,Web,True
121,588,4,2025-02-18,61,0.57,Mobile,Android,True
122,788,15,2025-04-12,107,0.9,Tablet,iOS,False
123,216,19,2025-04-12,95,0.76,Smart TV,Web,False
124,252,23,2025-04-13,63,0.58,Smart TV,iOS,True
125,1016,7,2025-01-02,48,0.54,Smart TV,Web,False
126,632,12,2024-11-30,75,0.74,Smart TV,Web,False
127,599,22,2024-12-19,105,0.88,Mobile,TV App,True
128,425,19,2025-04-28,103,0.83,Desktop,Android,False
129,655,15,2025-04-27,91,0.77,Smart TV,Web,False
130,740,15,2025-04-16,94,0.79,Tablet,iOS,False
131,863,25,2024-08-17,130,0.97,Mobile,Web,True
132,544,1,2025-04-04,110,0.94,Smart TV,Web,True
133,977,22,2025-01-05,70,0.59,Mobile,Android,True
134,1163,20,2024-09-02,57,0.63,Smart TV,Android,False
135,765,15,2025-04-25,92,0.78,Smart TV,iOS,False
136,817,15,2025-03-16,96,0.81,Smart TV,Web,False
137,1151,11,2025-03-28,91,0.72,Mobile,Android,False
138,70,9,2025-04-29,91,0.66,Smart TV,Android,False
139,428,2,2024-12-08,99,0.75,Laptop,iOS,True
140,1064,11,2025-03-06,77,0.61,Mobile,iOS,False
141,537,13,2025-04-23,100,0.72,Laptop,Web,False
142,334,4,2025-03-03,88,0.82,Laptop,TV App,True
143,40,4,2025-03-21,75,0.7,Laptop,iOS,False
144,220,12,2025-03-29,74,0.73,Laptop,Web,False
145,930,4,2025-02-26,61,0.57,Tablet,Android,False
146,683,6,2025-04-26,37,0.39,Smart TV,Web,False
147,256,7,2024-12-13,54,0.61,Desktop,Web,False
148,305,15,2025-03-04,90,0.76,Desktop,Android,False
149,185,9,2025-04-19,63,0.46,Smart TV,TV App,False
150,616,4,2025-02-16,105,0.98,Mobile,Web,False
151,689,19,2025-04-15,81,0.65,Smart TV,Web,False
152,694,1,2025-03-30,106,0.9,Laptop,iOS,False
153,1134,9,2025-04-07,88,0.64,Laptop,iOS,False
154,1075,23,2025-04-10,53,0.49,Mobile,Android,True
155,1192,19,2025-04-28,66,0.53,Tablet,iOS,False
156,864,4,2025-04-16,39,0.37,Smart TV,iOS,False
157,1095,21,2025-04-07,97,0.63,Laptop,TV App,True
158,1196,4,2025-04-01,100,0.93,Laptop,Android,False
159,911,8,2025-03-18,64,0.73,Mobile,iOS,False
160,419,9,2025-04-25,99,0.72,Tablet,iOS,False
161,297,13,2025-03-25,140,1.0,Mobile,Web,True
162,794,5,2024-10-08,74,0.61,Mobile,Web,False
163,150,1,2025-02-23,118,1.0,Smart TV,iOS,False
164,635,24,2025-02-13,79,0.76,Laptop,Android,False
165,887,23,2025-03-12,94,0.86,Laptop,Android,False
166,781,9,2025-04-15,104,0.76,Smart TV,Android,False
167,1001,7,2024-12-20,39,0.44,Smart TV,Android,True
168,277,6,2025-03-29,32,0.34,Laptop,TV App,False
169,1150,2,2024-10-10,92,0.7,Smart TV,iOS,False
170,331,17,2025-03-15,45,0.53,Tablet,Android,False
171,1122,19,2025-04-14,112,0.9,Smart TV,TV App,False
172,762,24,2025-03-29,66,0.63,Mobile,Android,False
173,594,9,2025-04-07,89,0.65,Tablet,TV App,False
174,702,18,2024-12-02,120,0.85,Mobile,Web,False
175,869,17,2025-04-04,51,0.6,Desktop,Android,False
176,574,22,2024-12-20,120,1.0,Mobile,Web,False
177,599,5,2025-01-06,85,0.7,Mobile,Web,False
178,502,4,2025-04-28,55,0.51,Smart TV,TV App,False
179,137,17,2025-03-18,74,0.88,Mobile,Android,False
180,364,9,2025-04-25,124,0.9,Mobile,iOS,False
181,1109,13,2025-04-18,95,0.68,Laptop,iOS,True
182,1031,11,2025-04-19,90,0.71,Smart TV,iOS,False
183,1112,9,2025-04-08,138,1.0,Laptop,iOS,False
184,408,16,2025-04-28,82,0.84,Laptop,iOS,True
185,679,24,2025-04-06,70,0.67,Smart TV,iOS,False
186,175,23,2025-04-15,81,0.74,Smart TV,Android,False
187,710,16,2025-03-18,91,0.93,Tablet,iOS,False
188,879,25,2024-08-05,129,0.96,Smart TV,Android,False
189,1069,2,2025-04-15,121,0.92,Tablet,Web,False
190,268,9,2025-04-21,80,0.58,Smart TV,iOS,False
191,791,13,2025-04-11,119,0.85,Smart TV,iOS,False
192,866,3,2025-03-24,133,0.92,Mobile,Android,False
193,1001,5,2024-10-05,95,0.78,Smart TV,iOS,False
194,785,5,2025-03-25,80,0.66,Laptop,TV App,False
195,1160,18,2024-12-31,109,0.77,Mobile,iOS,False
196,242,9,2025-04-19,118,0.86,Smart TV,iOS,False
197,1141,1,2025-03-20,103,0.88,Desktop,Web,False
198,259,3,2025-03-30,107,0.74,Laptop,Web,False
199,978,5,2024-12-09,92,0.76,Smart TV,iOS,False
200,14,5,2024-12-31,108,0.89,Mobile,TV App,False
201,1156,23,2025-03-07,91,0.83,Smart TV,Android,False
202,1144,1,2025-01-20,110,0.94,Smart TV,TV App,False
203,945,9,2025-04-13,73,0.53,Tablet,Web,True
204,801,13,2025-03-26,134,0.96,Smart TV,TV App,False
205,72,5,2025-01-29,122,1.0,Smart TV,iOS,False
206,932,4,2025-04-30,99,0.92,Tablet,iOS,False
207,999,12,2025-04-03,95,0.94,Laptop,Web,False
208,977,14,2024-06-08,65,0.5,Smart TV,Web,False
209,299,11,2025-03-04,93,0.74,Laptop,Web,False
210,150,16,2024-11-11,96,0.98,Mobile,TV App,False
211,519,19,2025-04-23,97,0.78,Mobile,Web,False
212,672,22,2025-01-21,58,0.49,Smart TV,TV App,False
213,333,3,2025-01-30,98,0.68,Smart TV,iOS,False
214,48,13,2025-04-11,85,0.61,Laptop,Android,False
215,630,1,2025-02-26,92,0.78,Mobile,Android,False
216,641,2,2025-04-13,96,0.73,Smart TV,Android,False
217,247,12,2025-01-10,88,0.87,Laptop,TV App,True
218,586,13,2025-04-14,60,0.43,Laptop,iOS,False
219,405,23,2025-03-29,94,0.86,Smart TV,Android,False
220,139,21,2025-04-26,155,1.0,Laptop,Android,False
221,963,21,2025-04-21,60,0.39,Laptop,TV App,False
222,699,15,2025-04-24,119,1.0,Tablet,Web,True
223,153,1,2025-01-26,113,0.96,Smart TV,Web,True
224,130,15,2025-04-19,119,1.0,Mobile,Android,True
225,170,1,2025-04-22,107,0.91,Tablet,iOS,False
226,535,17,2025-02-25,66,0.78,Smart TV,TV App,True
227,540,7,2025-01-16,48,0.54,Tablet,Android,False
228,213,13,2025-04-14,117,0.84,Tablet,Web,False
229,1169,21,2025-04-01,108,0.7,Laptop,Web,False
230,1050,25,2025-02-15,86,0.64,Smart TV,Android,False
231,388,11,2025-04-21,91,0.72,Mobile,iOS,True
232,1161,5,2024-12-04,75,0.62,Smart TV,Web,False
233,878,14,2024-12-08,109,0.84,Mobile,TV App,False
234,826,1,2025-04-01,97,0.83,Laptop,iOS,False
235,255,7,2024-12-16,53,0.59,Desktop,TV App,False
236,497,19,2025-04-16,88,0.71,Mobile,iOS,False
237,161,17,2025-03-04,68,0.8,Mobile,Web,True
238,533,9,2025-04-08,97,0.71,Smart TV,Web,False
239,263,3,2025-03-23,79,0.55,Smart TV,Android,False
240,1180,15,2025-04-29,69,0.58,Laptop,iOS,True
241,282,9,2025-04-24,117,0.85,Smart TV,iOS,False
242,862,1,2025-01-29,95,0.81,Laptop,iOS,False
243,977,11,2025-03-16,73,0.58,Laptop,iOS,False
244,487,7,2025-01-21,72,0.81,Smart TV,TV App,True
245,724,18,2025-03-06,68,0.48,Mobile,Android,True
246,114,9,2025-04-14,109,0.79,Laptop,iOS,False
247,72,1,2025-02-26,95,0.81,Laptop,iOS,False
248,560,18,2024-10-11,120,0.85,Mobile,iOS,False
249,191,13,2025-04-23,61,0.44,Laptop,Web,False
250,850,13,2025-04-03,120,0.86,Mobile,iOS,False
251,297,21,2025-03-31,116,0.75,Desktop,Android,False
252,208,19,2025-04-29,93,0.75,Smart TV,TV App,False
253,101,20,2024-09-13,40,0.44,Mobile,iOS,False
254,945,15,2025-03-14,91,0.77,Smart TV,Android,False
255,313,14,2024-07-25,57,0.44,Laptop,iOS,False
256,303,21,2025-04-11,155,1.0,Mobile,iOS,False
257,966,21,2025-04-16,125,0.81,Tablet,Web,False
258,1010,12,2024-11-14,94,0.93,Desktop,Web,True
259,685,11,2025-01-30,87,0.69,Smart TV,iOS,True
260,699,13,2025-04-30,110,0.79,Mobile,Web,False
261,811,14,2025-04-24,104,0.8,Mobile,Web,False
262,1052,25,2024-12-25,102,0.76,Laptop,Web,False
263,1102,13,2025-04-13,126,0.9,Smart TV,Web,False
264,536,19,2025-04-20,75,0.6,Smart TV,iOS,False
265,1032,1,2025-01-21,118,1.0,Laptop,Android,False
266,427,14,2025-01-28,79,0.61,Mobile,Web,False
267,224,13,2025-04-22,99,0.71,Tablet,Web,False
268,1081,11,2025-04-03,81,0.64,Smart TV,Web,False
269,610,9,2025-04-30,106,0.77,Mobile,iOS,True
270,536,11,2025-03-18,123,0.97,Tablet,TV App,False
271,976,21,2025-03-25,94,0.61,Mobile,Android,False
272,246,25,2024-09-17,101,0.75,Smart TV,iOS,False
273,1105,16,2025-03-07,66,0.68,Smart TV,Web,True
274,219,8,2025-02-27,43,0.49,Smart TV,Web,True
275,1070,21,2025-04-01,125,0.81,Smart TV,Web,False
276,515,1,2025-01-17,118,1.0,Mobile,iOS,False
277,1118,4,2025-03-25,90,0.84,Laptop,Web,False
278,413,9,2025-04-07,92,0.67,Laptop,Web,False
279,296,22,2025-04-20,57,0.48,Laptop,TV App,False
280,960,14,2024-11-09,110,0.85,Smart TV,iOS,False
281,4,25,2024-09-24,120,0.89,Mobile,Web,False
282,415,9,2025-04-06,136,0.99,Mobile,iOS,False
283,642,3,2024-11-30,66,0.46,Mobile,TV App,False
284,474,9,2025-04-10,77,0.56,Tablet,TV App,False
285,749,8,2025-03-29,28,0.32,Smart TV,TV App,False
286,77,12,2025-02-16,102,1.0,Laptop,Android,False
287,867,23,2025-04-14,71,0.65,Laptop,TV App,True
288,765,16,2025-02-27,72,0.74,Mobile,TV App,False
289,298,15,2025-04-19,74,0.63,Smart TV,Web,False
290,232,23,2025-04-09,88,0.8,Laptop,Web,False
291,840,10,2024-09-26,105,0.92,Smart TV,Android,False
292,774,4,2025-04-02,76,0.71,Laptop,iOS,False
293,685,15,2025-03-11,105,0.89,Laptop,Web,False
294,466,17,2025-02-03,50,0.59,Tablet,Web,False
295,415,19,2025-04-26,90,0.72,Laptop,Android,False
296,388,15,2025-04-15,98,0.83,Laptop,Android,True
297,1117,20,2024-08-28,64,0.7,Smart TV,Web,False
298,1062,8,2025-03-15,53,0.61,Laptop,iOS,False
299,912,13,2025-03-19,91,0.65,Tablet,Android,True
300,476,19,2025-04-18,96,0.77,Smart TV,Web,False
301,1190,2,2025-02-10,106,0.81,Mobile,Web,False
302,639,13,2025-03-31,72,0.52,Mobile,TV App,True
303,1105,6,2025-04-10,38,0.4,Laptop,Web,True
304,1045,23,2025-04-05,57,0.52,Smart TV,TV App,False
305,359,10,2025-01-24,102,0.89,Smart TV,Web,False
306,630,22,2025-02-23,79,0.66,Smart TV,iOS,False
307,790,11,2025-02-09,97,0.77,Laptop,iOS,False
308,875,5,2024-11-12,67,0.55,Desktop,iOS,False
309,784,15,2025-04-06,73,0.62,Desktop,Android,False
310,656,2,2025-02-28,85,0.65,Smart TV,iOS,False
311,1006,5,2024-09-16,103,0.85,Smart TV,Web,False
312,56,21,2025-04-01,110,0.71,Mobile,iOS,False
313,631,19,2025-04-17,88,0.71,Smart TV,iOS,False
314,697,13,2025-04-09,96,0.69,Smart TV,Web,False
315,1019,24,2025-03-09,68,0.65,Smart TV,Android,True
316,927,16,2024-12-02,70,0.72,Mobile,Android,False
317,556,2,2025-02-26,110,0.84,Smart TV,Android,False
318,841,1,2025-04-29,106,0.9,Smart TV,TV App,False
319,652,4,2025-04-21,91,0.85,Mobile,TV App,False
320,677,1,2025-01-24,96,0.82,Laptop,iOS,False
321,979,9,2025-04-05,66,0.48,Mobile,Web,False
322,10,3,2025-01-20,82,0.57,Mobile,Web,False
323,446,13,2025-03-21,100,0.72,Tablet,TV App,False
324,1120,11,2025-03-05,127,1.0,Laptop,iOS,False
325,84,1,2025-03-23,108,0.92,Mobile,iOS,False
326,582,14,2024-09-02,107,0.83,Mobile,TV App,False
327,725,9,2025-04-10,117,0.85,Mobile,TV App,False
328,802,5,2024-09-06,80,0.66,Laptop,iOS,False
329,702,24,2025-03-24,82,0.79,Desktop,Android,False
330,1124,14,2024-06-08,130,1.0,Laptop,Android,False
331,755,8,2025-03-11,66,0.76,Mobile,iOS,False
332,200,1,2025-01-24,93,0.79,Smart TV,iOS,False
333,364,18,2025-04-20,75,0.53,Smart TV,Web,False
334,841,4,2025-04-27,106,0.99,Smart TV,Web,False
335,481,6,2025-03-14,35,0.37,Smart TV,iOS,False
336,75,23,2025-02-09,95,0.87,Smart TV,Web,False
337,1117,2,2024-12-08,93,0.71,Laptop,iOS,True
338,1082,2,2025-03-04,105,0.8,Desktop,TV App,False
339,1045,25,2025-04-12,60,0.45,Smart TV,Web,True
340,179,22,2025-02-19,75,0.63,Laptop,Android,False
341,611,9,2025-04-20,84,0.61,Desktop,Web,False
342,433,4,2025-03-15,75,0.7,Mobile,TV App,True
343,1058,13,2025-03-30,110,0.79,Laptop,Android,False
344,930,11,2025-02-04,93,0.74,Smart TV,Web,False
345,790,19,2025-04-28,108,0.87,Smart TV,iOS,False
346,224,1,2025-04-13,94,0.8,Laptop,iOS,False
347,428,25,2024-07-18,135,1.0,Smart TV,iOS,False
348,520,22,2025-01-17,52,0.44,Mobile,Web,False
349,246,13,2025-03-27,51,0.37,Laptop,TV App,False
350,806,5,2025-01-18,80,0.66,Smart TV,Android,False
351,698,4,2025-03-17,108,1.0,Smart TV,TV App,False
352,922,25,2025-02-03,60,0.45,Mobile,Web,False
353,1027,3,2025-03-28,118,0.82,Mobile,Web,False
354,634,4,2025-03-18,66,0.62,Laptop,Web,False
355,1027,4,2025-04-27,79,0.74,Laptop,Web,False
356,857,1,2025-02-16,112,0.95,Smart TV,iOS,False
357,242,19,2025-04-16,111,0.89,Mobile,Android,False
358,506,24,2025-04-02,76,0.73,Tablet,Web,True
359,1178,15,2025-04-14,101,0.85,Smart TV,iOS,False
360,129,20,2024-09-22,68,0.74,Laptop,iOS,False
361,218,3,2025-01-05,101,0.7,Smart TV,Android,False
362,66,14,2025-01-29,66,0.51,Laptop,Web,True
363,652,3,2025-04-13,95,0.66,Smart TV,iOS,False
364,1041,1,2025-01-26,114,0.97,Mobile,Android,False
365,151,2,2025-01-11,116,0.88,Laptop,TV App,False
366,800,14,2024-12-24,84,0.65,Desktop,Android,False
367,569,21,2025-04-21,124,0.8,Smart TV,iOS,True
368,846,23,2025-04-22,97,0.89,Mobile,iOS,False
369,1196,9,2025-04-13,118,0.86,Mobile,iOS,False
370,747,18,2024-11-14,107,0.76,Mobile,Android,False
371,67,14,2024-07-14,97,0.75,Smart TV,TV App,False
372,462,23,2025-02-27,101,0.92,Mobile,Android,False
373,1133,3,2025-01-28,142,0.98,Smart TV,Android,False
374,918,3,2024-12-16,134,0.93,Smart TV,iOS,False
375,4,8,2025-02-09,33,0.38,Mobile,iOS,False
376,998,11,2025-04-08,110,0.87,Laptop,Web,False
377,1199,15,2025-03-22,86,0.73,Smart TV,iOS,False
378,825,23,2025-03-16,80,0.73,Mobile,Web,False
379,136,14,2025-03-08,62,0.48,Laptop,Android,True
380,835,4,2025-02-19,79,0.74,Mobile,iOS,False
381,942,19,2025-04-14,87,0.7,Desktop,Android,False
382,415,1,2025-01-28,118,1.0,Smart TV,Web,False
383,514,15,2025-03-13,102,0.86,Mobile,Android,False
384,218,16,2024-11-07,74,0.76,Desktop,Android,False
385,726,23,2025-03-21,83,0.76,Smart TV,iOS,False
386,488,19,2025-04-28,102,0.82,Smart TV,Web,False
387,224,16,2025-03-15,54,0.56,Laptop,iOS,False
388,616,14,2025-04-26,81,0.63,Mobile,Android,False
389,258,18,2025-02-05,116,0.82,Tablet,iOS,False
390,1144,21,2025-04-13,106,0.69,Desktop,Android,True
391,998,16,2024-11-22,78,0.8,Smart TV,Android,True
392,84,16,2025-03-07,84,0.86,Smart TV,Android,False
393,805,6,2025-03-07,47,0.5,Smart TV,Web,False
394,569,16,2024-12-12,62,0.64,Desktop,iOS,False
395,769,9,2025-04-06,96,0.7,Mobile,Web,False
396,812,16,2025-03-27,52,0.54,Mobile,iOS,False
397,1058,22,2025-02-15,120,1.0,Laptop,iOS,False
398,136,18,2025-02-02,92,0.65,Smart TV,Web,False
399,565,16,2025-02-07,67,0.69,Smart TV,Web,False
400,610,24,2025-04-26,69,0.66,Smart TV,iOS,False
401,442,8,2025-03-09,35,0.4,Mobile,Android,False
402,423,2,2025-01-30,104,0.79,Tablet,iOS,False
403,417,8,2025-02-04,40,0.46,Mobile,iOS,False
404,200,1,2025-01-23,112,0.95,Mobile,Web,False
405,177,1,2025-01-20,108,0.92,Laptop,iOS,False
406,854,22,2024-12-30,110,0.92,Desktop,Android,False
407,172,14,2025-03-25,93,0.72,Laptop,Web,False
408,1158,5,2025-03-14,69,0.57,Mobile,iOS,False
409,949,25,2024-07-16,133,0.99,Smart TV,Android,False
410,637,10,2025-02-25,70,0.61,Mobile,Web,False
411,359,2,2025-03-13,91,0.69,Smart TV,TV App,False
412,158,17,2025-02-06,55,0.65,Tablet,Web,False
413,823,13,2025-04-01,106,0.76,Tablet,Web,False
414,656,25,2024-11-21,74,0.55,Smart TV,iOS,True
415,770,12,2025-02-03,56,0.55,Tablet,iOS,False
416,472,1,2025-01-31,107,0.91,Laptop,Android,True
417,69,15,2025-04-29,89,0.75,Mobile,iOS,True
418,348,13,2025-04-26,77,0.55,Tablet,Web,False
419,311,18,2025-01-02,55,0.39,Smart TV,iOS,False
420,115,16,2025-02-03,76,0.78,Smart TV,Android,False
421,906,2,2025-03-07,110,0.84,Tablet,Web,False
422,1052,1,2025-01-23,106,0.9,Tablet,iOS,False
423,1190,3,2025-04-18,131,0.91,Tablet,Android,False
424,1181,11,2025-03-20,73,0.58,Laptop,Web,False
425,741,24,2024-12-25,54,0.52,Smart TV,iOS,False
426,159,3,2025-03-06,142,0.98,Laptop,iOS,False
427,50,2,2024-11-25,76,0.58,Mobile,iOS,False
428,847,7,2024-12-25,59,0.66,Laptop,TV App,False
429,1137,1,2025-03-13,100,0.85,Smart TV,Android,False
430,754,18,2025-01-01,62,0.44,Laptop,Web,True
431,1018,23,2025-03-23,69,0.63,Laptop,iOS,False
432,722,4,2025-04-08,86,0.8,Smart TV,Web,False
433,210,13,2025-04-04,106,0.76,Mobile,iOS,False
434,987,9,2025-04-14,67,0.49,Laptop,TV App,True
435,367,9,2025-04-23,99,0.72,Laptop,Web,True
436,1032,14,2024-07-14,84,0.65,Smart TV,iOS,False
437,394,9,2025-04-27,125,0.91,Mobile,Android,False
438,511,11,2025-04-20,116,0.92,Laptop,iOS,False
439,283,5,2024-12-25,95,0.78,Tablet,TV App,False
440,129,10,2025-02-24,75,0.66,Smart TV,TV App,False
441,62,10,2024-09-06,83,0.73,Laptop,iOS,False
442,1113,7,2025-01-22,57,0.64,Desktop,iOS,False
443,676,19,2025-04-19,110,0.88,Laptop,iOS,False
444,938,5,2024-11-01,111,0.91,Mobile,TV App,False
445,272,13,2025-04-02,89,0.64,Smart TV,TV App,False
446,1108,13,2025-04-23,60,0.43,Smart TV,TV App,False
447,523,22,2024-11-28,79,0.66,Tablet,Web,False
448,519,25,2025-03-29,112,0.83,Smart TV,Web,False
449,1080,15,2025-04-05,88,0.74,Smart TV,iOS,False
450,1053,14,2024-06-02,79,0.61,Tablet,Web,False
451,201,16,2025-03-05,67,0.69,Laptop,iOS,False
452,920,1,2025-02-10,101,0.86,Smart TV,Web,False
453,157,10,2024-10-20,101,0.88,Tablet,TV App,False
454,696,24,2025-04-01,78,0.75,Mobile,Web,False
455,7,15,2025-03-28,78,0.66,Mobile,iOS,False
456,714,16,2025-02-14,73,0.75,Laptop,Android,False
457,1085,4,2025-04-19,93,0.87,Mobile,iOS,True
458,1044,13,2025-03-18,110,0.79,Smart TV,Android,False
459,418,19,2025-04-23,76,0.61,Laptop,Web,False
460,799,18,2024-11-21,61,0.43,Mobile,Web,False
461,1164,18,2024-11-02,122,0.86,Tablet,Web,False
462,1043,2,2025-03-30,92,0.7,Laptop,TV App,False
463,969,5,2024-09-09,85,0.7,Mobile,Web,False
